ColorHex,ColorName,Task_Count,Distinct_Days,Example_Tasks
666666,Gray,10539,398,"BANI, FEFERIE, FERIE"
C9DAF8,Light Blue,6916,472,"(RINN CQC A2), (RINN CQC A2)-EHSANI, (RINN CQC B2)"
F4CCCC,Light Pink,5176,446,"(RINN CQC A2), (RINN CQC B2), 10,15 BASSO"
434343,Dark Gray,1664,152,FERIE
CFE2F3,Pale Blue,831,175,"10-14, 11-15, 15,30-18,00CQC VIDEO"
FFFF00,Yellow,818,335,"10,00 ES GUIDA, 10,00 ES GUIDA B, 10,00 ES GUIDA MOTO"
000000,Black,368,70,"BARBAROTTO, FERIE, MAHENDRAN"
FFFFFF,White,271,96,"(ALESSIO), ,UFFICIO, -"
93C47D,#93C47D,230,105,"11,15 ADR CISTERNA, 14-15,30 ADR, 14-17,15 ADR"
00FF00,Green,159,93,"10-13, 10-14, 10-15"
FF0000,Red,142,45,"11,00 ESP DI GUIDA, 12,30 RIUNIONE, 20,00 ASS CONDOMINIO"
B6D7A8,Light Green,26,7,"ADR, MALATA"
B7B7B7,Silver Gray,20,17,"CML, MALATO, NO"
999999,Light Gray,18,17,"1/2 FERIA, 18,00 VACCARO, 4.0"
6AA84F,#6AA84F,15,14,ADR
9FC5E8,#9FC5E8,13,2,"CASONE, CEDENO L, DIARRA"
FF9900,#FF9900,6,1,"8:00-16:00, CONSORZIO, CORSO"
A4C2F4,#A4C2F4,6,3,"ADR, CQC, UFFICIO"
,No Fill,4,3,"(P3), PANDA 2, PANDA 3"
THEME9,Theme 9,4,3,ADR
D9D9D9,#D9D9D9,4,1,provincia
CCCCCC,#CCCCCC,3,2,"ACQUI TERME, video"
E6B8AF,#E6B8AF,2,1,"CONSORZIO, MECCANICO"
FFE599,#FFE599,2,2,"CORSO RINN ISTRUTTORE, PANDA 2 SENZA TARGA SUL COFANO"
F3F3F3,#F3F3F3,1,1,PANDA 1
FFD966,#FFD966,1,1,MARRA
D0E0E3,#D0E0E3,1,1,ufficio
